condition,label
"Giant cell tumor of bone. Giant cell tumor is the second most common benign tumor of bone. Plain radiographs may demonstrate distinctive features but can also be misleading. The diagnosis may be aided by the use of other imaging modalities, such as bone scan, computed tomography and angiography. The recurrence rate is high, but some of the newer treatments seem to be associated with better outcomes. ",neoplasms
"The scimitar syndrome. The clinical spectrum of the scimitar syndrome ranges from severely ill infants to asymptomatic adults. The true incidence of the disorder is unknown because the syndrome may remain undetected in asymptomatic patients until a chest roentgenogram is obtained. We have presented the contrasting clinical experiences of two adult women, one with few symptoms and a benign course, and the other with exacerbation of her asthma from recurrent upper respiratory tract infections originating in the lower lobe of her right lung. Improvement resulted from surgical resection of this congenitally abnormal, bronchiectatic segment of lung. ",general pathological conditions
"Rapid and correct diagnosis of myocardial infarction: standardized case history and clinical examination provide important information for correct referral to monitored beds. The value of thorough examination of the case history as a diagnostic tool on hospitalization of patients with suspected myocardial infarction was investigated in three independent prospective studies. Use of a limited number of pain-related elements (= 'criteria'), that had already been obtained in the emergency room, could improve the decision on whether or not to admit patients to the coronary-care unit. As an example, in one of the studies, use of such criteria would have reduced the number of 'unnecessary' coronary-care-unit admissions from 298 to 162, a 46% reduction (P less than 0.001). In the same patient sample, use of the criteria could have reduced the number of patients with definite acute myocardial infarction, admitted to the general wards, from 47 to 22, a 53% reduction (P less than 0.01). These favourable results were confirmed in the two independent, smaller-scale studies. ",cardiovascular diseases
"Anti-inflammatory effects of pentoxifylline in claudication. We measured neutrophil elastase/alpha 1 proteinase inhibitor complex (E/alpha) levels by ELISA in plasma samples drawn from 19 patients with claudication, before and at 1 and 2 months after initiation of pentoxifylline (PTF), 400 mg. p.o. tid. Plasma E/alpha levels declined in all eight patients whose initial values were more than 300 ng elastase per ml. Whole blood viscosity (wbv) was reduced by two months' treatment in 12 of 14 patients tested. The relative change in wbv was significantly related to the relative change in E/alpha (R2 = 0.8), for patients with elevated initial E/alpha levels, suggesting a common or related mechanism for the two effects. Plasma crosslinked fibrin D-dimer fragments (XDP) measured by ELISA as indicators of coagulation activity were lower compared to pretreatment levels in 9 of 10 samples drawn when symptoms were improved on PTF, whereas they were increased in 6 of 9 samples drawn when symptoms were worse or unchanged. Plasma viscosity, C-reactive protein and alpha 1-acid-glycoprotein did not change significantly with PTF treatment. Together these findings are consistent with the possibility that reduced microvascular neutrophil activation and coagulation play a role in the clinical efficacy of PTF in intermittent claudication. ",cardiovascular diseases
"Rectal mucosal dysplasia in Crohn's disease. Serial sections of 812 rectal biopsy specimens from 356 Crohn's disease patients were analysed for mucosal epithelial dysplasia. Dysplasia was found in 18 patients (5%), with four showing dysplasia on repeat biopsy specimen. In these 22 biopsy specimens the dysplasia was mild in 13, moderate in nine, and severe in none. Subsequently, three patients (17%) developed neoplasms including carcinoma in two and an adenomatous polyp in one. In colectomy specimens which showed dysplasia, significantly more dysplastic changes were found in seven patients who underwent colonic resection than in 10 others who underwent operation but had no prior dysplasia (p less than 0.001). Thirteen patients still have their rectum in situ and remain at risk of developing colonic cancer. Four carcinomas developed in patients with Crohn's disease who did not have dysplasia on rectal biopsy specimen. ",digestive system diseases
"Effects of prolonged infusion of human alpha calcitonin gene-related peptide on hemodynamics, renal blood flow and hormone levels in congestive heart failure. We have previously demonstrated that short-term infusion of calcitonin gene-related peptide (CGRP) has beneficial effects in congestive heart failure. The effects of prolonged infusion of CGRP on hemodynamic functions, plasma hormones and renal blood flow were studied in 9 patients with congestive heart failure (New York Heart Association class III or IV, ejection fraction less than 35%). Hemodynamic variables were measured at 30-minute intervals for 8 hours during CGRP infusion (8 ng/kg/min) and for 2 hours after discontinuation. CGRP caused a decrease in right atrial (28%, p less than 0.05), pulmonary artery (22%, p less than 0.02), pulmonary artery wedge (37%, p less than 0.001) and systemic arterial (18%, p less than 0.05) pressures. Systemic vascular resistance decreased more than pulmonary vascular resistance. Cardiac output (72%, p less than 0.001) and stroke volume (60%, p less than 0.02) increased. Heart rate did not change. There was no evidence of tolerance throughout the infusion. The hemodynamic effects were lost within 30 minutes of stopping CGRP. Renal blood flow (34%, p less than 0.01) and glomerular filtration rate (43%, p less than 0.01) increased. Atrial natriuretic peptide decreased (p less than 0.05), while plasma cortisol (p less than 0.02) increased. Plasma epinephrine, norepinephrine, renin activity, aldosterone and growth hormone were unchanged. It is concluded that in patients with severe congestive heart failure, CGRP has sustained beneficial effects on hemodynamic functions and has no adverse effects on hormones. Unlike many other vasodilators, CGRP also increases renal blood flow and glomerular filtration. ",cardiovascular diseases
Correlation between essential tremor and migraine headache. The relationship between essential tremor (ET) and migraine was investigated in a prospective study. In a group of 74 ET patients 36.5% had migraine compared with 17.7% of 102 control subjects without tremor. In a group of 58 patients with migraine 17.2% had ET compared with 1.2% of 85 controls without migraine. The prevalence of ET in migraine controls was greater than controls without migraine (22% compared with 1%; p = 0.002). It is concluded that there is an association between essential tremor and migraine. ,nervous system diseases
"Effect of severe pulmonary hypertension on the calculation of mitral valve area in patients with mitral stenosis. We studied 50 consecutive patients with mitral valve stenosis (MS) by cardiac catheterization and Doppler echocardiography to assess whether the presence of severe pulmonary hypertension affected the calculation of valve area by Doppler pressure half-time method and by the Gorlin formula using pulmonary capillary wedge pressure as an index of left atrial pressure. Patients with severe mitral regurgitation were excluded. In patients with pulmonary artery systolic pressure (PAS) less than 70 mm Hg (n = 33), there was good correlation between the mitral valve area derived from Doppler echocardiography and from cardiac catheterization (r = 0.85). However, in patients with PAS greater than or equal to 70 mm Hg (n = 17), this correlation was not as good (r = 0.57). In these 17 patients, the Gorlin formula tended to underestimate the valve orifice area (mean valve area 0.85 +/- 0.49 and 1.06 +/- 0.46 cm2 by catheterization and by Doppler respectively, p = NS). Direct measurement of the valve area by two-dimensional echocardiography was possible in 12 of the 17 patients and correlated well with Doppler values (r = 0.91). Hence in the presence of severe pulmonary hypertension, Doppler pressure half-time estimation of mitral valve area is more accurate than is catheterization-derived valve area, using the wedge pressure and the Gorlin formula. ",cardiovascular diseases
"The Hastings bipolar hemiarthroplasty for subcapital fractures of the femoral neck. A 10-year prospective study. In a 10-year prospective study, 561 displaced subcapital fractures of the femoral neck in 546 patients were treated with the Hastings bipolar hemiarthroplasty. Within six months of their operations, 148 patients had died. In 322 hips followed up, 243 with adequate serial radiographs separated by more than one year, only 14 (5.6%) showed acetabular erosion. A group of 91 had been reviewed for between three and nine years (mean, 4 years 10 months) and of these, 95% had no pain or slight pain only. Comparison with an earlier series of conventional hemiarthroplasties reported from this institution showed that the clinical results were similar, but that the erosion rate had been halved. ",general pathological conditions
"Correction of truncus arteriosus with truncal valvar stenosis or insufficiency using two homografts. Surgical correction of truncus arteriosus requires the creation of right ventricular to pulmonary artery continuity and closure of the ventricular septal defect. A variety of conduits have been used including valved and nonvalved. Despite a significant incidence of truncal valvar stenosis and insufficiency, this valve has seldom been replaced. We present 4 cases of truncus arteriosus with truncal valvar stenosis or insufficiency that were repaired using two valved homografts: one to create the pulmonary outflow tract and the other to replace the abnormal truncal valve. Two of these patients are doing well after 4 months. Another child survived the operation and did well for 2 months when she died suddenly. The last child died 14 hours postoperatively from low cardiac output syndrome secondary to diabetic hypertrophic cardiomyopathy. When truncal valvar abnormalities are present, the primary repair of truncus arteriosus in an infant should include replacement of the truncal valve. Total correction can be successfully achieved using two valved homografts, resulting in long-term palliation and freedom from thromboembolic events and the use of anticoagulants. ",cardiovascular diseases
"Evaluation of the pre-S (pre-S(1)Ag/pre-S(2)Ab) system in hepatitis B virus infection. The diagnostic and prognostic value of pre-S(1)Ag and pre-S(2)Ab was investigated in 69 HBsAg surface antigen positive patients--14 with acute hepatitis B, 30 with chronic liver disease (six chronic persistent hepatitis, 14 chronic active hepatitis, 10 with cirrhosis) and in 25 asymptomatic carriers. Pre-S(1)Ag was found in all patients with chronic hepatitis B virus (HBV) infection regardless of viral replication. In contrast, pre-S(2)Ab was not detected in any patients. Acute hepatitis was studied sequentially with periodic controls at 20 day intervals. Pre-S(1)Ag cleared before HBsAg in six of 14 (43%) patients who progressed favourably, and the two antigens cleared simultaneously in eight of 14 (57%) cases. Patients with early clearance of pre-S(1)Ag progressed favourably, thus indicating the prognostic value of this test, which, however, is still of limited practical application given the small temporal difference between the moment of clearance of the two antigens. The first markers to clear, however, were HBeAg and DNA-HBV, which showed significant differences with respect to the clearance of HBsAg. Moreover, pre-S(2)Ab appeared before HBsAb in 57.1% of our patients and was found in some patients before pre-S(1)Ag and HBsAg had cleared (42.8%), thus allowing complete viral clearance and acute HBV infection to be predicted earlier. ",digestive system diseases
"Usefulness of fecal alpha 1-antitrypsin clearance and fecal concentration as early indicator of postoperative asymptomatic recurrence in Crohn's disease. The aim of this study was to evaluate in Crohn's disease the possible usefulness of alpha 1-antitrypsin clearance and fecal concentration in the early detection of postoperative asymptomatic recurrence. Eleven adult patients with small bowel Crohn's disease undergoing elective resection were enrolled in the study and prospectively followed for one year. Three, six, and 12 months after surgery the alpha 1-antitrypsin clearance and fecal concentration were measured, and the disease activity was assessed. All patients were free of active symptoms throughout the study. One year after surgery small bowel radiology was performed in all patients. Radiographic evidence of recurrent macroscopic disease was found in five of the 11 patients. Three months after surgery both alpha 1-antitrypsin clearance and fecal concentration were significantly lower (P less than 0.01) than before surgery. There was no difference at this time between patients with recurrence and those with no recurrence. In patients with recurrence both alpha 1-antitrypsin clearance and fecal concentration significantly increased at six months in comparison with the values at three months (P less than 0.02). Both measurements were significantly higher at six and 12 months in this group of patients than in those with no recurrence and in normal controls (P less than 0.01). At six and 12 months alpha 1-antitrypsin clearance was above the upper normal limit in all patients with recurrence. We conclude that fecal alpha 1-antitrypsin clearance is a noninvasive, inexpensive, sensitive marker of asymptomatic recurrence in CD patients who are under regular supervision after surgery. ",digestive system diseases
"Repair of posterior left ventricular aneurysm in a six-year-old boy. Left ventricular aneurysms and diverticula are rarely encountered in the pediatric age group. This paper reports a case of congestive heart failure and mitral regurgitation in a 6-year-old boy with a large posterolateral left ventricular aneurysm. Complete repair was successfully performed by excision of the aneurysm and Dacron patch reconstruction of the left ventricular free wall. The patch extended onto the posterior annulus of the mitral valve, thus restoring the mitral valve to normal geometry and correcting the mitral insufficiency. The surgical literature on congenital cardiac diverticula and acquired aneurysms in children is reviewed and summarized. ",cardiovascular diseases
"Tumor cell lines established in vitro: an independent prognostic factor for survival in non-small-cell lung cancer. OBJECTIVE: To determine the relation between in-vitro establishment of tumor cell lines and survival in patients with non-small-cell lung cancer. DESIGN: Cohort study. SETTING: Single-institution tertiary care center. PATIENTS: One hundred twenty-three consecutive patients with non-small-cell lung cancer from whom a viable tumor specimen could be obtained. INTERVENTION: Tumor tissue was removed at the time of entry into a therapeutic protocol. The tumor tissue was processed in the laboratory for attempted cell-line establishment. Patients classified as potentially curable (stages I, II, and IIIA) were treated with surgical resection, radiation therapy, or a combination. Patients suitable for palliative therapy only (stages IIIB and IV) were treated with radiation therapy with or without chemotherapy. Chemotherapy was based on in-vitro drug sensitivity when available. Cell-line establishment was correlated to clinical outcome. MEASUREMENTS AND MAIN RESULTS: Univariate analysis of survival was done using the log-rank test; multivariate analysis was done by Cox modeling step-up and step-down techniques. Cell lines were established from the tumor specimens of 25 patients (20%). Those patients experienced a median survival of 7 months compared with 18 months in patients from whom cell lines could not be established (P less than 0.001). In the 61 patients with potentially curable disease, 8 patients (13%) with cell lines established had a median survival of 8 months compared with 32 months for those without cell lines established (P = 0.001). In the 62 palliative group patients, the median survival of the 17 patients (27%) from whom tumor cell lines were established was 5 months compared with 7 months for those without cell lines (P = 0.15). Multivariate analysis in both groups showed cell-line establishment to be a significant indicator of prognosis (P less than 0.0001 for curable group; P less than 0.01 for palliative group). CONCLUSION: In-vitro tumor growth is related to decreased patient survival, which in turn reflects the biologic aggressiveness of cancers giving rise to these tumor cell lines. ",neoplasms
"Long-term remission of chronic hepatitis B after alpha-interferon therapy. OBJECTIVE: To evaluate whether remissions of chronic hepatitis B induced by alpha-interferon therapy are of long duration. DESIGN: Cohort study. SETTING: Clinical Center of the National Institutes of Health, a tertiary referral center. PATIENTS: Sixty-four patients with chronic hepatitis B were treated with alpha-interferon between 1984 and 1986. MAIN OUTCOME MEASURES: Patients were followed with frequent examinations and determinations of serum liver biochemical tests and hepatitis B virus (HBV) markers including hepatitis B surface antigen (HBsAg), hepatitis B e antigen (HBeAg), and HBV DNA using blot hybridization and polymerase chain reaction. RESULTS: Among 64 patients with chronic hepatitis B who were treated with alpha-interferon, 23 (36%) responded to treatment with loss of HBeAg and improvement in serum aminotransferases. All 23 have been followed for 3 to 7 years (mean, 4.3 years). During follow-up, 3 of 23 patients relapsed, with reappearance of HBeAg and abnormal serum aminotransferases, all within 1 year of therapy. The remaining 20 patients continued to have no detectable HBeAg or HBV DNA (using blot hybridization) in serum and to be asymptomatic for liver disease, although 3 had minimal elevations in serum aminotransferases. Thirteen patients (65%) became negative for HBsAg between 0.2 and 6 years (mean, 3 years) after loss of HBeAg. Although no patient had HBV DNA that was detectable by blot hybridization, the 7 patients who remained HBsAg positive all had HBV DNA in serum detected by polymerase chain reaction, but only 2 of 13 HBsAg-negative patients had viral genome using this method. Testing sequential samples indicated that HBV DNA detected by polymerase chain reaction usually disappeared at or around the time that test results for HBsAg became negative. CONCLUSIONS: Remissions in chronic hepatitis B induced by alpha-interferon are of long duration and are followed, in most patients, by the loss of HBsAg and all evidence of residual virus replication. ",digestive system diseases
"Prevalence of Helicobacter pylori in specific forms of gastritis. Further evidence supporting a pathogenic role for H. pylori in chronic nonspecific gastritis. Helicobacter pylori colonization of the gastric mucosa is strongly associated with chronic nonspecific gastritis; moreover, there is evidence to suggest that H. pylori may cause this form of gastritis. However, there is little or no information on the prevalence of H. pylori in specific forms of gastritis. Our hypothesis was that if H. pylori was pathogenic in chronic nonspecific gastritis, organisms would be found frequently in this type of gastritis but infrequently in specific forms of gastritis. Prevalence rates of H. pylori were determined independently in patients with eosinophilic and Crohn's gastritis, Menetrier's disease, and chronic nonspecific gastritis. The prevalence of H. pylori in patients with chronic nonspecific gastritis was 71%, whereas the organism was not identified in patients with any form of specific gastritis. This finding further supports the accumulating evidence that H. pylori is a primary pathogenic factor in chronic nonspecific gastritis. ",digestive system diseases
"Essential tremor: clinical correlates in 350 patients. To study the demographic and clinical correlates of essential tremor (ET), we analyzed a comprehensive database of 350 patients evaluated at the Movement Disorders Clinic at Baylor College of Medicine from 1982 to 1989. The age at onset of tremor showed bimodal distribution for both male and female patients, with peaks in 2nd and 6th decades. ET appeared most frequently in hands, followed by head, voice, tongue, leg, and trunk. Half of the patients (47%) had associated dystonia, including cervical dystonia, writer's cramp, spasmodic dysphonia, and cranial dystonia, and 20% of the patients had associated parkinsonism. At least one 1st-degree relative of 62.5% of ET patients reported tremor. Alcohol relieved tremor in 2/3 of ET patients. Sixty-eight percent of patients who had adequate follow-up improved with propranolol, and 72% with primidone. There was no significant difference in various clinical variables between the 219 patients with familial ET and 131 with sporadic ET. Patients with early-onset ET were more likely to have hand involvement and associated dystonia than patients with late-onset ET. Dystonia was more frequently associated with mild ET than with severe ET. Patients with low-frequency tremor were older and had more head but less hand involvement than patients with high-frequency tremor. The lack of relevant differences between ET subgroups suggests that, despite variable expression, ET represents a single disease entity. ",nervous system diseases
"Disturbances in the cerebral perfusion of human immune deficiency virus-1 seropositive asymptomatic subjects: a quantitative tomography study of 18 cases. Quantitative measurements of cerebral blood flow (CBF) by xenon-133 (133Xe) tomography, together with magnetic resonance imaging (MRI), electroencephalography (EEG), psychometric tests, and laboratory analyses were performed on 18 human immunodeficiency virus 1 (HIV-1) seropositive asymptomatic subjects. Abnormalities of cerebral perfusion were observed in 16 cases (88%). These abnormalities were particularly frequent in the frontal regions (77% of cases). MRI demonstrated leucoencephalopathy in only two cases. EEG showed only induced diffuse abnormalities in two cases. Psychometric tests showed restricted moderate disturbances in 55% of patients. These disturbances mostly concerned those sectors involved in cognitive functions and memorization. These results indicate that quantitative measurements of CBF by 133Xe-SPECT is capable of detecting abnormalities of cerebral perfusion at a very early stage (Phase II) of HIV-1 infection. These abnormalities are indications of disturbances resulting from unidentified metabolic or vascular lesions. This technique appears to be superior to MRI at this stage of the disease's development. It could provide objective information leading to earlier treatment, and prove useful in evaluating potential antiviral chemotherapy. ",nervous system diseases
"Cervical lymph node metastasis: assessment of radiologic criteria. To estimate the accuracy of different radiologic criteria used to detect cervical lymph node metastasis in patients with head and neck carcinoma, seven different characteristics of 2,719 lymph nodes in 71 neck dissection specimens from 55 patients were assessed. Three lymph node diameters, their location, their number, the presence of a tumor, and the amount of necrosis and fatty metaplasia were recorded. The minimal diameter in the axial plane was found to be the most accurate size criterion for predicting lymph node metastasis. A minimal axial diameter of 10 mm was determined to be the most effective size criterion. The size criterion for lymph nodes in the subdigastric region was 1 mm larger (11 mm). Groups of three or more borderline nodes were proved to increase the sensitivity but did not significantly decrease the specificity. Radiologically detectable necrosis (3 mm or larger) was found only in tumorous nodes and was present in 74% of the positive neck dissection specimens. Shape was not a valuable criterion for the radiologic assessment of the cervical lymph node status. ",neoplasms
"Anal sphincter function after intersphincteric resection and stapled ileal pouch-anal anastomosis. This study was done to determine the effect of the direct ileal pouch-anal anastomosis upon pressure and sensory components of the anal canal and ileal pouch. These findings were related to postoperative continence. Thirty-three patients with ileal pouch-anal anastomosis (25 continent, eight with episodic minor incontinence) were studied 3 +/- 0.3 and 25 +/- 5 months after ileostomy takedown. The maximum resting pressure in the anal canal was significantly lower in patients with an imperfect result (35 +/- 5 mm Hg) than in continent patients (44 +/- 5 mm Hg) (P less than 0.05). Postoperatively the maximum squeeze anal pressure was slightly greater in continent than in incontinent patients (99 +/- 8 mm Hg vs. 87 +/- 7 mm Hg) (P greater than 0.05). The postoperative recto-(ileo-)anal inhibitory reflex was present in 27 percent. The linear correlation between strength of rectal (ileal) distension and depth resp. duration of internal sphincter relaxation as preoperatively observed disappeared postoperatively in every group of patients. Simultaneous measurements of pouch and anal pressure in patients with imperfect results revealed a reduced positive pouch anal pressure gradient compared to the continent group. This low pouch-anal pressure gradient is thought to be responsible for the increased incidence of soiling in some of our patients. ",digestive system diseases
"Segmental vascular resistance in postobstructive pulmonary vasculopathy. Chronic unilateral pulmonary arterial ligation has been touted as a model of arteriopathy resulting in a tremendous increase in anastomotic bronchial flow (Qbr) via collaterals. To investigate its effects on the pulmonary vasculature, we ligated the left main pulmonary artery of seven dogs and 120 days later pump perfused their left lower lobes (LLL) via a cannula in the pulmonary artery at pulmonary arterial flow (Qpa) of 250 ml/min. We measured Qbr (330 ml/min) and compared LLL with control contralateral right lower lobes (RLL) and three LLL from normal dogs. Pressure-flow (P-Q) curves were obtained by varying Qpa. With arterial and venous occlusion we measured total, arterial, venous, and middle segment resistances under baseline conditions, after serotonin and histamine, either with or without Qpa and with antegrade and retrograde Qbr. Light microscopy was done postmortem. The slope of the P-Q curve was 33.4 mmHg.l-1.min in the ligated lobes compared with 15.9 in the controls, attributable by the occlusion technique mainly to a rise in arterial resistance (22.4 mmHg.l-1.min compared with 7.4 in the controls) with a small rise in venous resistance. This was explained by significant arterial medial muscle thickening and some loss of LLL volume. The arterial segment was markedly hypersensitive to serotonin, and the venous segment was mildly hypersensitive to histamine compared with controls. The occlusion data also enabled us to model the point of entry of the bronchial circulation into the pulmonary circuit at the precapillary level and to calculate bronchial vascular resistance. We conclude that postobstructive vasculopathy substantially raises pulmonary vascular resistance, mainly upstream from the site of entry of the bronchial circulation. The role of the latter may be to keep it from rising excessively in the segments it perfuses, i.e., the middle and venous ones. ",cardiovascular diseases
"Stercoral perforation of the colon. Stercoral perforation of the colon is rare. The 64 reported cases are reviewed to define the syndrome of stercoral perforation, and to facilitate accurate diagnosis and treatment. Features of localized or generalized peritonitis were universal; however, only 11 per cent were correctly diagnosed before operation. Recognition that the disease involves a segment of colon rather than only the focal point of perforation is essential to adequate surgical treatment. It is postulated that this is the reason for the higher postoperative mortality following closure of the perforation and proximal colostomy (57 per cent) or exteriorization alone (43 per cent), compared with resection of the diseased segment and exteriorization (32 per cent). Resection and exteriorization is therefore the treatment of choice is most situations. ",digestive system diseases
"Observer variability in the scoring of colpophotographs. Colposcopy and cervicography are accepted tools for assessing the cervix for an atypical transformation zone. We studied the validity of the colpophotograph as a measurement tool by determining the agreement of experienced colposcopists using colpophotographs of 50 women. Interobserver agreement was generally fair to good (kappa greater than or equal to 0.40) for the presence of the squamocolumnar junction and the area of ectopia but it was poor (kappa less than 0.40) for the area, border, and color characteristics of an atypical transformation zone. Intra-observer agreement was fair to good for the color characteristics of an atypical transformation zone, but it was poor for the area and border characteristics. We conclude that observer agreement studies should play a role in the validation of methods used in the visual diagnosis of cervical intraepithelial neoplasia. Considerable lack of agreement in reporting cytologic findings is a well-known problem, and lack of agreement might be an even bigger problem in reporting colposcopic findings. ",neoplasms
"Relation between beta-adrenergic blocker use, various correlates of left ventricular function and the chance of developing congestive heart failure. The Multicenter Diltiazem Post-Infarction Research Group. This study examined the relations among beta-adrenergic blocker use, various correlates of left ventricular function and the chance of developing congestive heart failure in patients after myocardial infarction. The study was performed with the placebo group of the Multicenter Diltiazem Post-Infarction Trial. Ejection fraction data were available in 1,084 patients; of these, 557 were receiving a beta-blocker and 527 were not. In addition to ejection fraction, other correlates of left ventricular function included the presence or absence of pulmonary rales, chest X-ray film evidence of pulmonary congestion and the presence of an S3 gallop. Beta-blocker use was less frequent in patients with an ejection fraction less than 30%, rales, an S3 gallop and pulmonary congestion on chest X-ray film. Twenty-one percent of patients with an ejection fraction less than 30%, 42% of patients with rales, 28% of patients with an S3 gallop and 28% of patients with pulmonary congestion were receiving beta-blocker therapy. For every correlate of left ventricular function, the chance of developing congestive heart failure was greater in patients with diminished left ventricular function than in those without. For each level of left ventricular function, the chance of developing congestive heart failure requiring treatment was greater in patients not taking a beta-blocker. ",cardiovascular diseases
"Conservation surgery for glomus jugulare tumors: the value of early diagnosis. The results of lateral cranial base surgery for glomus jugulare tumors are gratifying when normal anatomy and function can be preserved. The goal of conservation surgery is to preserve normal ear anatomy and cranial nerve function. In general, conservation surgery is tumor-size dependent. Thus, excellent states of functional recovery depend upon accurate early diagnosis. This paper reviews the technical aspects of transtemporal conservation skull base tumor surgery while also reviewing our experience with nearly 100 glomus jugulare patients. Adjuvants to early diagnosis will be highlighted from a review of presenting symptoms, clinical signs, and related diagnosis. Our objective is to provoke a high index of suspicion in physicians charged with the responsibility of diagnosing these tumors. Diagnostic guidelines are proposed. ",neoplasms
"Alpha 1-acid glycoprotein and the binding of lidocaine in children with congenital heart disease. The purpose of this study was to evaluate the effect of congenital heart disease (CHD) on the serum concentrations of alpha 1-acid glycoprotein (alpha 1-AGP) and the serum binding of lidocaine. Thirteen children with acyanotic CHD and 12 children with cyanotic CHD were studied and compared with 28 children without heart disease (control). The mean (+/- SD) serum concentration of alpha 1-AGP, as determined by radial immunodiffusion, did not differ significantly among the three groups. Five minutes after administration of 1.5 mg.kg-1 intravenous lidocaine, the free fraction of lidocaine correlated inversely and linearly with the serum concentration of alpha 1-AGP in children with acyanotic CHD (r2 = 0.74; P less than 0.001) cyanotic CHD (r2 = 0.57; P less than 0.005), and control (r2 = 0.63; P less than 0.001). The slopes and intercepts of the linear regressions did not differ significantly among the three groups. We conclude that the serum concentration of alpha 1-AGP in children with CHD does not differ quantitatively or qualitatively from that in children without CHD. ",cardiovascular diseases
"Doppler echocardiographic assessment of the St. Jude Medical prosthetic valve in the aortic position using the continuity equation. To test whether the continuity equation can be applied to the noninvasive assessment of prosthetic aortic valve function, Doppler echocardiography was performed in 67 patients (mean age, 58 +/- 14 years) within 10 +/- 6 days after valve replacement with St. Jude Medical valves. All patients were clinically stable and without evidence of valve dysfunction. Valve size ranged from 19 to 31 mm, and ejection fraction ranged from 30% to 75%. With the parasternal long-axis view, the left ventricular outflow diameter measured just proximal to the prosthetic valve correlated well with valve size (r = 0.92). Doppler-derived maximal gradients ranged from 9 to 71 mm Hg. Effective prosthetic aortic valve area by the continuity equation ranged between 0.73 cm2 for a 19-mm valve and 4.23 cm2 for a 31-mm valve. With analysis of variance, effective orifice area differentiated various valve sizes (p less than 10(-14)) better than did gradients alone (p = 0.003) and correlated better with actual valve orifice area (r = 0.83 versus - 0.40). A Doppler velocity index, the ratio of peak velocity in the left ventricular outflow to that of the aortic jet, averaged 0.41 +/- 0.09 and was less dependent on valve size (r = 0.43). Thus, the continuity equation can be applied to the assessment of prosthetic St. Jude valves in the aortic position. By accounting for flow through the valve, it provides an improved assessment over the sole use of gradients in the evaluation of prosthetic valve function. ",cardiovascular diseases
"Retrograde transurethral balloon dilation of prostate: innovative management of abacterial chronic prostatitis and prostatodynia. Retrograde transurethral balloon dilatation (RTBD) of the prostate recently has been suggested as alternative therapy for patients with benign prostatic hyperplasia (BPH). Seven patients with documented functional urinary outlet obstruction at the level of the bladder neck or prostatic urethra underwent RTBD of prostate. Each patient had a classic diagnosis of abacterial chronic prostatitis or prostatodynia based on history, physical examination, and localization cultures. Prior to RTBD of prostate, patients underwent cystoscopy, voiding cystourethrogram, urodynamic and uroflow studies. RTBD of prostate was done as an outpatient procedure requiring intravenous sedation or general anesthesia. Dilation was performed with a 25-mm urethroplasty balloon catheter inflated at 3.5 atm of pressure for twenty minutes. Improvement in voiding symptomatology was noted in all patients and graded numerically (0-10 scale), with ten indicating normal voiding. Follow-up to date ranges from one to five months. This technique may have promise as a treatment option in patients with abacterial chronic prostatitis and prostatodynia. ",general pathological conditions
"Endothelin family in human plasma and cerebrospinal fluid. To clarify whether endothelin may be present in human cerebrospinal fluid (CSF) and, if it exists, to compare its molecular forms with those of endothelin in human plasma, we analyzed pooled human CSF and plasma by high performance liquid chromatography with specific enzyme immunoassays for each endothelin peptide. Of the four human endothelin peptides hitherto identified, big endothelin-1 was the major molecular form of endothelin present in human CSF. In addition, there was a small but significant amount of endothelin-1 and endothelin-3 in CSF, while endothelin-2 was not detectable. Similarly, big endothelin-1, endothelin-1, and endothelin-3 were identified in human plasma. Although big endothelin-1 was the most abundant, a substantial amount of endothelin-1 and endothelin-3 was found in plasma with a resultant lower molar ratio of big endothelin-1 to endothelin-1 than in CSF. In all CSF samples from 17 patients requiring diagnostic lumbar puncture or lumbar anesthesia, endothelin was detectable, with a preponderance of big endothelin-1 relative to endothelin-1 and endothelin-3. The mean concentrations of endothelin-1 and endothelin-3 in simultaneously collected plasma were significantly (P less than 0.01) higher than those in CSF, while there was no significant difference between the mean big endothelin-1 concentration in plasma and that in CSF. There was no significant correlation among concentrations of big endothelin-1, endothelin-1, and endothelin-3 in each paired sample. These results indicate that endothelin is present in human CSF that is differently processed from endothelin in vascular endothelial cells and suggest a possible role for endothelin as a modulator of neuronal functions. ",nervous system diseases
